"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RP11-1143G9.4"	7.75329620822151e-280	-1.5912513888947	0.087	0.805	1.27332383627622e-275
"RPS4Y1"	3.28260023396353e-224	-1.26522732055584	0.052	0.659	5.39101436423831e-220
"MT-ND1"	2.54531277541583e-188	-0.834548512819405	0.754	0.991	4.18016717106542e-184
"TMEM176B"	1.28538316642564e-170	-1.16982707314271	0.04	0.514	2.11098477422082e-166
"RPS12"	1.715870892453e-168	-0.592671278559882	0.893	0.994	2.81797476667556e-164
"LGALS2"	1.57948341751661e-140	-1.13875869491023	0.281	0.733	2.59398561658753e-136
"RPL30"	2.25470352964469e-132	-0.53874144488377	0.838	0.984	3.70289960673547e-128
"MT-ND2"	2.14485668668568e-129	-0.610838508958043	0.858	0.991	3.5224981365439e-125
"RPS26"	2.75962059766321e-128	-0.650264571105984	0.574	0.939	4.53212490754229e-124
"RPS17"	1.24822690416117e-115	-0.520426680374517	0.828	0.976	2.04996304470389e-111
"TPT1"	2.2040425261311e-115	-0.493944081988998	0.924	0.991	3.61969904066511e-111
"RPS15A"	2.39955377140374e-113	-0.445110631928717	0.893	0.991	3.94078715877637e-109
"RPL12"	3.87263131614078e-108	-0.446298186421286	0.897	0.987	6.36002241049801e-104
"RPL28"	2.43816419798506e-105	-0.384007073869004	0.955	0.994	4.00419706235086e-101
"RPL37A"	3.42260091082672e-101	-0.477205185208746	0.875	0.983	5.62093747585072e-97
"JUN"	3.82873911557869e-101	-0.818889465040451	0.427	0.815	6.28793824951489e-97
"RPL32"	1.11841501039726e-96	-0.371641305885128	0.958	0.997	1.83677297157542e-92
"RPL13"	5.7548851613364e-96	-0.343908017098373	0.979	0.999	9.45124790046277e-92
"RPS7"	1.89381624905879e-94	-0.499768965315065	0.773	0.964	3.11021442582925e-90
"IFI30"	3.64242337869454e-93	-0.876858557322267	0.2	0.584	5.98195191483004e-89
"TMEM176A"	4.30281072509562e-92	-0.721645789235476	0.022	0.303	7.06650605382453e-88
"RPLP2"	1.36047725048615e-90	-0.373976703886023	0.954	0.998	2.23431178847341e-86
"RPS2"	9.50685599022905e-89	-0.353967153855216	0.956	0.998	1.56131095927532e-84
"NACA"	2.94339314048444e-88	-0.548617730016722	0.683	0.929	4.83393455461759e-84
"PSAP"	2.53337960619546e-83	-0.45747164179704	0.807	0.973	4.16056932725481e-79
"RPL6"	3.56870535229328e-83	-0.445642253171008	0.791	0.968	5.86088480007126e-79
"RPL11"	2.68884216068318e-80	-0.315551523405322	0.94	0.995	4.41588548048998e-76
