"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL41"	0	1.44372579004778	0.968	0.885	0
"EEF1A1"	1.30411170144437e-267	1.48674367674006	0.925	0.771	2.14174264728209e-263
"RPL39"	5.08647118309656e-250	1.32477357453429	0.93	0.856	8.35351162399949e-246
"H3F3A"	9.10665057431256e-230	1.74461607658383	0.795	0.272	1.49558522381935e-225
"NCF1"	1.14768028060094e-92	1.24597782495756	0.651	0.375	1.88483532483092e-88
"HLA-DRB5"	3.41832377283457e-92	1.08467687013316	0.543	0.171	5.61391313212621e-88
"CCL4"	2.05232164429633e-88	2.12401136476448	0.324	0.021	3.37052783642786e-84
"B2M"	1.38053322695614e-83	0.370522660258632	0.997	1	2.26724971863007e-79
"XIST"	1.49938678235686e-75	0.977523939352276	0.306	0.028	2.46244291266468e-71
"AC090498.1"	1.21888976371766e-69	1.23968360844939	0.304	0.039	2.00178265895351e-65
"CCL3L3"	4.49834813712632e-68	1.78845693611576	0.31	0.049	7.38763714560256e-64
"VAMP5"	1.62819168846581e-67	0.988926441487647	0.685	0.534	2.6739792099674e-63
"CCL3"	2.28103607055327e-66	2.05266952957852	0.514	0.268	3.74614553866964e-62
"GNLY"	1.18969425246882e-56	1.97745358180385	0.274	0.044	1.95383487082954e-52
"ISG15"	2.41003948655638e-56	0.935496248561384	0.595	0.399	3.95800784877155e-52
"HMGN2"	4.9625886854442e-53	0.914231882596697	0.44	0.206	8.15005939810501e-49
"SH3BGRL3"	2.31637690652849e-51	0.340744878930217	0.948	0.99	3.80418579359174e-47
"TNNT1"	1.71855665263761e-50	0.884226111313846	0.309	0.079	2.82238559062675e-46
"IFI6"	1.86694795281425e-45	0.863299886137479	0.515	0.322	3.06608862290684e-41
"IFI44L"	5.98318278403002e-43	0.772633409472508	0.267	0.067	9.82618108621249e-39
"CLU"	2.53734197481681e-41	0.697607947199773	0.154	0.005	4.16707672524164e-37
"NFKBIA"	3.16317862517921e-41	1.28545948799428	0.677	0.661	5.19488825613182e-37
"S100A8"	2.17878525889095e-40	0.894878322614459	0.858	0.896	3.5782190306766e-36
"RP11-160E2.6"	7.30948637798731e-39	0.982910591920359	0.357	0.163	1.20043694785686e-34
"MT2A"	1.57523121522484e-38	0.786934855816189	0.679	0.633	2.58700222476375e-34
"IFITM3"	6.1804408261038e-37	0.626613144703979	0.725	0.642	1.01501379687103e-32
"CD63"	2.22374888925001e-36	0.665239040699363	0.643	0.558	3.65206280081529e-32
"IER3"	8.90230054185132e-36	0.889670092918777	0.288	0.107	1.46202481798824e-31
"CH17-373J23.1"	2.84793637112444e-35	0.804577045572513	0.566	0.388	4.67716590229766e-31
"H3F3B"	6.97568413992956e-34	0.353661079985666	0.926	0.964	1.14561660630063e-29
