"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS4X"	0	-0.30548465762336	0.953	0.998	0
"TMSB10"	0	-0.306103783792418	0.967	0.998	0
"DDX5"	0	-0.359558174598742	0.75	0.933	0
"MT-ND3"	0	-0.369435624496645	0.801	0.965	0
"ATP5E"	0	-0.381133099341839	0.686	0.898	0
"RPS24"	0	-0.39903795840686	0.826	0.978	0
"ARPC2"	0	-0.423498555825882	0.423	0.695	0
"ARPC1B"	0	-0.442097939081962	0.419	0.683	0
"HLA-DQB1"	0	-0.443324684771489	0.597	0.833	0
"CLIC1"	0	-0.463169172628924	0.354	0.622	0
"TPM3"	0	-0.468442244130267	0.209	0.465	0
"ACTB"	0	-0.486484964356037	0.84	0.99	0
"MYL6"	0	-0.487320614293808	0.669	0.902	0
"AC079767.4"	0	-0.491823000016009	0.046	0.213	0
"UCP2"	0	-0.51737212037243	0.485	0.779	0
"GPX1"	0	-0.520028366540957	0.272	0.553	0
"PEBP1"	0	-0.522614967589657	0.475	0.765	0
"TRAC"	0	-0.526988577130052	0.236	0.496	0
"UQCRH"	0	-0.527965913376786	0.357	0.623	0
"ARPC3"	0	-0.533605671487617	0.514	0.822	0
"TMSB4X"	0	-0.537472491113768	0.952	1	0
"RP5-1171I10.5"	0	-0.540812989224945	0.06	0.243	0
"CD52"	0	-0.54680991085147	0.862	0.986	0
"ZBTB32"	0	-0.556230683266412	0.039	0.204	0
"TAGLN2"	0	-0.556685547498908	0.282	0.537	0
"TPI1"	0	-0.558501297249557	0.246	0.529	0
"RNASE6"	0	-0.561584098028103	0.136	0.361	0
"SERF2"	0	-0.568507580894983	0.789	0.97	0
"PNOC"	0	-0.572864744694887	0.063	0.26	0
"RHOC"	0	-0.57528822780748	0.074	0.276	0
"CLECL1"	0	-0.581804502017579	0.085	0.29	0
"CYB561A3"	0	-0.584055724547279	0.298	0.609	0
"BLK"	0	-0.585669244332525	0.193	0.471	0
"ABCA6"	0	-0.589316100643849	0.103	0.363	0
"XIST"	0	-0.59495582897501	0.069	0.255	0
"PCAT29"	0	-0.598042059866437	0.005	0.135	0
"GAPDH"	0	-0.602677145749969	0.524	0.784	0
"PTPN6"	0	-0.608436011333427	0.167	0.44	0
"CAPG"	0	-0.621127887415122	0.085	0.308	0
"HLA-DRB5"	0	-0.63123565036414	0.177	0.452	0
"SFTPB"	0	-0.648359613286928	0.001	0.12	0
"CCDC88A"	0	-0.650059888643447	0.128	0.407	0
"SAT1"	0	-0.652194463794662	0.259	0.573	0
"LINC01480"	0	-0.655390998030797	0.068	0.288	0
"IGLC2"	0	-0.702105006250033	0.313	0.619	0
"RAC2"	0	-0.709442780097273	0.194	0.532	0
"TYROBP"	0	-0.75512795498158	0.149	0.48	0
"COCH"	0	-0.808961553140661	0.02	0.22	0
"CD27"	0	-0.831193831204118	0.422	0.716	0
"S100A4"	0	-0.904001862872346	0.472	0.729	0
"LGALS1"	0	-1.15704434981882	0.169	0.556	0
"IGLC3"	0	-1.6634050712366	0.13	0.394	0
"LSP1"	3.50808852822027e-301	-0.44605560142517	0.356	0.62	5.76133378989615e-297
"ATP5G2"	2.93219997845947e-299	-0.389333538475659	0.514	0.773	4.81555202462399e-295
"EEF2"	3.65631890170314e-296	-0.35305828369903	0.653	0.87	6.00477253226706e-292
"PIGR"	3.35485361567289e-295	-0.483731977582983	0.015	0.143	5.50967609301959e-291
"RPL23"	3.89932811068049e-294	-0.339467536014175	0.671	0.884	6.40386655617056e-290
"LBH"	6.19397605807228e-291	-0.464272874504202	0.224	0.467	1.01723668801721e-286
"GDI2"	4.04243538284681e-290	-0.471506866040631	0.211	0.449	6.63889162924931e-286
"JUN"	2.02589263708693e-289	-0.545444364130468	0.449	0.699	3.32712347788786e-285
"CD37"	3.43354280262787e-285	-0.302886358964256	0.814	0.962	5.63890734475575e-281
"LIMD2"	5.29959826753151e-283	-0.373520649496701	0.535	0.794	8.703530234767e-279
"CORO1B"	4.85816594029159e-282	-0.47695550857553	0.092	0.28	7.97856592374087e-278
"ANXA2"	1.15122831102744e-275	-0.481295504084813	0.199	0.425	1.89066225520037e-271
"AP2S1"	1.17746131633511e-269	-0.451821331074253	0.13	0.333	1.93374471981715e-265
"COX7C"	6.74417814145627e-269	-0.330617537750016	0.6	0.836	1.10759637617136e-264
"COX4I1"	1.43730946686753e-262	-0.320282918907203	0.648	0.865	2.36049333743655e-258
"S100A13"	3.99394709767807e-261	-0.475498472309876	0.015	0.131	6.55925931851669e-257
"PTMS"	3.07256647847572e-257	-0.431153291044852	0.016	0.131	5.04607592760067e-253
"MS4A1"	4.21911693731914e-254	-0.621087985990249	0.191	0.394	6.92905574615923e-250
"HLA-DPA1"	9.02257974577143e-251	-0.294868101146124	0.857	0.967	1.48177827164804e-246
"SH3TC1"	2.92199336062811e-250	-0.475193880177315	0.011	0.116	4.79878969615955e-246
"GABARAPL2"	3.50478657826865e-249	-0.443431767292812	0.197	0.413	5.7559109974906e-245
"GNB2L1"	7.51491276820586e-247	-0.268101816877755	0.83	0.964	1.23417412392245e-242
"IGHE"	2.59382235144664e-246	-0.722894595467047	0.02	0.136	4.25983444778082e-242
"ITGB7"	1.43194170030624e-242	-0.44294627529654	0.085	0.253	2.35167785441294e-238
