"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CXCR4"	0	0.93419253714531	0.652	0.362	0
"RPS26"	0	0.734331690379905	0.789	0.709	0
"IGHM"	0	0.682095528608098	0.711	0.459	0
"MALAT1"	0	0.512878992491963	1	1	0
"ARRDC3"	3.05908954799817e-231	1.02347255635782	0.308	0.144	5.0239427646774e-227
"IGKC"	1.68438035548117e-226	0.250491137804465	0.965	0.839	2.76625785780673e-222
"EEF1A1"	2.4592283698114e-158	0.361645299564751	0.822	0.904	4.03879075174127e-154
"ZFP36L2"	5.37142882523446e-137	0.685044546872383	0.38	0.256	8.82149755968256e-133
"H3F3B"	3.30580262404897e-127	0.282354028614814	0.905	0.936	5.42911964947562e-123
"VAMP2"	2.07185543554523e-116	0.527716817596142	0.449	0.354	3.40260818179594e-112
"TXNIP"	1.87485624383085e-111	0.375742753463635	0.669	0.613	3.0790764092434e-107
"SULF2"	2.94739611285874e-100	0.514901496985623	0.263	0.156	4.8405086361479e-96
"XBP1"	9.87110459776585e-95	0.552442816182429	0.218	0.122	1.62113150809109e-90
"RPL22"	6.83246883693408e-89	0.273022166237928	0.717	0.749	1.12209635708968e-84
"MZB1"	5.36702658922124e-87	0.495953517386539	0.345	0.253	8.81426776747804e-83
"BTG2"	1.47923017825043e-83	0.448334208885861	0.369	0.277	2.42933972174068e-79
"RPS4Y1"	2.64463187674651e-81	0.383236557988147	0.311	0.202	4.3432789311808e-77
"HMGN2"	2.03672285740052e-72	0.379853937042939	0.394	0.304	3.34490994870887e-68
"VPREB3"	4.7053151774196e-72	0.470270774730524	0.397	0.318	7.72753911587621e-68
"ORAI2"	4.09811604589077e-45	0.345543010901591	0.457	0.416	6.73033598216641e-41
"HRK"	5.34345286309633e-44	0.429174672802427	0.143	0.087	8.7755526370631e-40
"HMGB2"	1.00448819236078e-38	0.408082690922764	0.283	0.229	1.64967095831411e-34
"SELM"	2.10043524799025e-31	0.33920237730845	0.116	0.072	3.44954480777439e-27
"BCL7A"	4.60202079386875e-26	0.334941133013387	0.152	0.109	7.55789874977065e-22
"HS3ST1"	9.01317540229238e-26	0.317615636307741	0.129	0.089	1.48023379631848e-21
"CHPT1"	2.72199204036634e-24	0.337865726853307	0.13	0.091	4.47032752789363e-20
"RHOH"	8.30471516744e-24	0.313354395120639	0.345	0.314	1.36388337194867e-19
"GABPB1-AS1"	7.66207687640777e-21	0.333102351925416	0.442	0.433	1.25834288541245e-16
"LINC00969"	4.29896880765069e-20	0.274912487894269	0.109	0.076	7.06019647280472e-16
"SNHG7"	5.72093120457674e-20	0.302913630662959	0.367	0.346	9.39548531727638e-16
"SEC62"	1.55149879079856e-17	0.258305410756055	0.563	0.588	2.54802646412848e-13
"CLEC2D"	1.84600609315244e-17	0.322703876757279	0.404	0.388	3.03169580678426e-13
"H1FX"	6.95549060428664e-17	0.418584680906394	0.137	0.106	1.14230022194199e-12
"B4GALT1"	1.50575774127087e-13	0.3873846078209	0.145	0.118	2.47290593848915e-09
"CD24"	4.70929371738734e-13	0.250705538741623	0.506	0.518	7.73407307206522e-09
"RRBP1"	7.19156474778866e-12	0.392842469120651	0.21	0.189	1.18107067852933e-07
"BIRC3"	2.76162853646817e-11	0.291167082558173	0.222	0.198	4.53542254544167e-07
"SYNE2"	2.1728026862688e-09	0.353647226805872	0.279	0.27	3.56839385165924e-05
"CMPK1"	5.04285141257584e-09	0.250489996757996	0.156	0.136	8.28187487487331e-05
"AC090498.1"	1.2316424865161e-07	0.633571822800052	0.309	0.29	0.0020227264556054
"PCDH9"	6.61108667091626e-05	0.263572488951764	0.254	0.248	1
"ZNF90"	0.000105002593562298	0.293747060659901	0.119	0.109	1
"TTC19"	0.00163233488286879	0.258090222815732	0.142	0.135	1
"SRSF6"	0.0499548015284006	0.256925457411923	0.179	0.181	1
"HNRNPH1"	0.102805366597946	0.413378865807382	0.201	0.212	1
"TLK1"	0.583821202529696	0.261460470148052	0.222	0.247	1
"DDX6"	0.713634558812475	0.276243595782813	0.205	0.225	1
"KIAA1551"	0.822696224596721	0.257101476891089	0.205	0.222	1
"MDM4"	0.878714994848906	0.309335067177725	0.182	0.196	1
"RP11-386I14.4"	0.992520589564024	0.349471422694411	0.204	0.221	1
