Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell activation Homo sapiens P00053	4/73	2.094670961523966E-4	0.02346031476906842	0	0	13.698630136986301	116.04032725856943	CD74;JUN;HLA-DRA;HLA-DPA1
FAS signaling pathway Homo sapiens P00020	2/31	0.006815032747294527	0.3816418338484935	0	0	16.129032258064516	80.46168401074578	JUN;CASP8
Apoptosis signaling pathway Homo sapiens P00006	3/102	0.0079647229573542	0.2973496570745568	0	0	7.352941176470588	35.534802343597285	JUN;CASP8;PRKCH
Parkinson disease Homo sapiens P00049	2/81	0.041775143321770236	1.0	0	0	6.172839506172839	19.6015665043467	FGR;FYN
TGF-beta signaling pathway Homo sapiens P00052	2/88	0.048486749795632444	1.0	0	0	5.681818181818182	17.195822263947132	JUN;CITED2
Axon guidance mediated by semaphorins Homo sapiens P00007	1/17	0.06589217159861402	1.0	0	0	14.705882352941176	39.99611230382805	FYN
Huntington disease Homo sapiens P00029	2/124	0.08820768506592373	1.0	0	0	4.032258064516129	9.790569304429347	JUN;CASP8
Oxidative stress response Homo sapiens P00046	1/24	0.0917609252380958	1.0	0	0	10.416666666666666	24.88092419762426	JUN
Histamine H1 receptor mediated signaling pathway Homo sapiens P04385	1/26	0.09902116952190523	1.0	0	0	9.615384615384615	22.234823251462352	PRKCH
Interferon-gamma signaling pathway Homo sapiens P00035	1/28	0.106224097275717	1.0	0	0	8.928571428571427	20.01968117183483	IFNG
Angiogenesis Homo sapiens P00005	2/142	0.11069770357534668	1.0	0	0	3.5211267605633805	7.749831634012436	JUN;PRKCH
CCKR signaling map ST Homo sapiens P06959	2/165	0.14130265578883053	1.0	0	0	3.0303030303030303	5.929852103262741	JUN;PRKCH
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	1/39	0.14483545924955893	1.0	0	0	6.41025641025641	12.385621440318163	PRKCH
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	1/41	0.15167656696330015	1.0	0	0	6.097560975609756	11.500029720418453	PRKCH
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	1/42	0.1550768262210607	1.0	0	0	5.952380952380952	11.094253760828465	PRKCH
p53 pathway feedback loops 2 Homo sapiens P04398	1/45	0.16519705871978851	1.0	0	0	5.555555555555555	10.00342345785218	ATM
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	1/46	0.16854379579764434	1.0	0	0	5.434782608695652	9.676954604613776	PRKCH
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	2/188	0.17346291123633858	1.0	0	0	2.6595744680851063	4.659019868449855	JUN;IFNG
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.17850471366148835	1.0	0	0	5.1020408163265305	8.791531995122153	JUN
VEGF signaling pathway Homo sapiens P00056	1/54	0.19484501606792146	1.0	0	0	4.629629629629629	7.571994564010229	PRKCH
Alzheimer disease-amyloid secretase pathway Homo sapiens P00003	1/56	0.20129089406944448	1.0	0	0	4.4642857142857135	7.156268674021393	PRKCH
B cell activation Homo sapiens P00010	1/57	0.2044946965271934	1.0	0	0	4.385964912280701	6.9614615688066825	JUN
Ras Pathway Homo sapiens P04393	1/69	0.2419644752384694	1.0	0	0	3.6231884057971016	5.1411752178853884	JUN
p53 pathway Homo sapiens P00059	1/71	0.24803768413309701	1.0	0	0	3.5211267605633805	4.9090654655321435	ATM
Endothelin signaling pathway Homo sapiens P00019	1/75	0.2600403158441355	1.0	0	0	3.3333333333333335	4.489728663494438	PRKCH
Interleukin signaling pathway Homo sapiens P00036	1/86	0.29208069113529117	1.0	0	0	2.9069767441860463	3.577689463326051	IL2RB
Wnt signaling pathway Homo sapiens P00057	2/278	0.30571579328508386	1.0	0	0	1.7985611510791368	2.131473720732667	TLE4;PRKCH
FGF signaling pathway Homo sapiens P00021	1/99	0.3281838968307512	1.0	0	0	2.5252525252525255	2.8135888046472872	PRKCH
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	1/106	0.34686461612297415	1.0	0	0	2.3584905660377355	2.4972187038463436	PRKCH
EGF receptor signaling pathway Homo sapiens P00018	1/109	0.35471273812631954	1.0	0	0	2.293577981651376	2.3771720308553275	PRKCH
PDGF signaling pathway Homo sapiens P00047	1/112	0.3624677212018948	1.0	0	0	2.2321428571428568	2.2652228875277576	JUN
Cadherin signaling pathway Homo sapiens P00012	1/150	0.453082480340101	1.0	0	0	1.6666666666666667	1.3194684904448806	FYN
Integrin signalling pathway Homo sapiens P00034	1/156	0.4661767574099938	1.0	0	0	1.6025641025641024	1.2230615529306426	FYN
