Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vasopressin synthesis Homo sapiens P04395	1/10	0.028630638041239193	1.0	0	0	34.48275862068966	122.52682325389202	SPCS2
CCKR signaling map ST Homo sapiens P06959	2/165	0.08288187427254469	1.0	0	0	4.179728317659352	10.408939964198023	ITGB1;HSPB1
p38 MAPK pathway Homo sapiens P05918	1/32	0.08881259492266998	1.0	0	0	10.775862068965518	26.09080608110833	HSPB1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	2/188	0.10330931486174566	1.0	0	0	3.6683785766691126	8.327321107888833	ITGB1;ALOX5AP
Ubiquitin proteasome pathway Homo sapiens P00060	1/43	0.1175139323807893	1.0	0	0	8.019246190858059	17.170796944456082	UBE2L3
VEGF signaling pathway Homo sapiens P00056	1/54	0.14532631826774292	1.0	0	0	6.385696040868455	12.316561904636798	HSPB1
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	1/70	0.1842492495438565	1.0	0	0	4.926108374384237	8.332343945581144	PFN1
Parkinson disease Homo sapiens P00049	1/81	0.20999274342358087	1.0	0	0	4.257130693912303	6.644028539751026	UBE2L3
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.256941656798116	1.0	0	0	3.380662609871535	4.594003503072254	GZMB
Angiogenesis Homo sapiens P00005	1/142	0.33890661591011534	1.0	0	0	2.428363283147159	2.6275635717387487	HSPB1
Integrin signalling pathway Homo sapiens P00034	1/156	0.3654401596511781	1.0	0	0	2.2104332449160036	2.2251386717082147	ITGB1
