Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	9/70	1.1453411028673746E-7	1.2827820352114595E-5	0	0	11.083743842364532	177.1447516834327	ARPC2;ARPC3;ARPC1B;CFL1;RAC2;ARPC5;RHOC;ACTB;ACTG1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	11/188	1.2881293555295246E-5	7.213524390965338E-4	0	0	5.0440205429200295	56.79433167700445	ITGB1;JUN;ARPC2;ARPC3;ARPC1B;CXCR3;ITGB7;ARPC5;RHOC;ACTB;ACTG1
Integrin signalling pathway Homo sapiens P00034	10/156	1.4536517472669925E-5	5.426966523130105E-4	0	0	5.526083112290009	61.55419224203354	ITGB1;ARPC2;ARPC3;ARPC1B;RAC2;ITGB7;ARPC5;RHOC;ACTB;ACTG1
Huntington disease Homo sapiens P00029	8/124	1.0077985456424668E-4	0.002821835927798907	0	0	5.561735261401558	51.18226962076867	JUN;ARPC1B;RAC2;ARPC5;DYNLL1;GAPDH;ACTB;ACTG1
ATP synthesis Homo sapiens P02721	2/5	0.0013092826871163043	0.029327932191405216	0	0	34.48275862068966	228.90606409743012	ATP5B;ATP5A1
B cell activation Homo sapiens P00010	4/57	0.004308358137539049	0.08042268523406225	0	0	6.049606775559589	32.953408288021045	JUN;RAC2;BTK;PTPN6
Beta3 adrenergic receptor signaling pathway Homo sapiens P04379	2/11	0.006877754345955015	0.11004406953528025	0	0	15.673981191222571	78.04801071351439	VAMP8;SNAP23
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	4/68	0.008048078584325609	0.11267310018055852	0	0	5.070993914807302	24.45396501632073	VAMP8;SNAP23;ACTB;ACTG1
5HT3 type receptor mediated signaling pathway Homo sapiens P04375	2/16	0.014445269857680488	0.17976335822891273	0	0	10.775862068965518	45.661511460152646	VAMP8;SNAP23
5HT4 type receptor mediated signaling pathway Homo sapiens P04376	2/16	0.014445269857680488	0.16178702240602144	0	0	10.775862068965518	45.661511460152646	VAMP8;SNAP23
Glycolysis Homo sapiens P00024	2/17	0.016247437363489936	0.1654284531555339	0	0	10.141987829614605	41.7831651455453	TPI1;GAPDH
Axon guidance mediated by Slit/Robo Homo sapiens P00008	2/18	0.018140201960317973	0.16930855162963443	0	0	9.578544061302683	38.40636686717201	RAC2;RHOC
Opioid prodynorphin pathway Homo sapiens P05916	2/18	0.018140201960317973	0.1562848168888933	0	0	9.578544061302683	38.40636686717201	VAMP8;SNAP23
Opioid proenkephalin pathway Homo sapiens P05915	2/18	0.018140201960317973	0.1451216156825438	0	0	9.578544061302683	38.40636686717201	VAMP8;SNAP23
Opioid proopiomelanocortin pathway Homo sapiens P05917	2/18	0.018140201960317973	0.13544684130370754	0	0	9.578544061302683	38.40636686717201	VAMP8;SNAP23
Dopamine receptor mediated signaling pathway Homo sapiens P05912	3/52	0.02244359081792674	0.15710513572548718	0	0	4.973474801061008	18.883041408347495	VAMP8;SNAP23;PPP1CA
Beta2 adrenergic receptor signaling pathway Homo sapiens P04378	2/28	0.041559071234648776	0.27380093989886256	0	0	6.157635467980295	19.58521835331928	VAMP8;SNAP23
Beta1 adrenergic receptor signaling pathway Homo sapiens P04377	2/28	0.041559071234648776	0.25858977657114796	0	0	6.157635467980295	19.58521835331928	VAMP8;SNAP23
Ras Pathway Homo sapiens P04393	3/69	0.04617251332871669	0.2721748154113826	0	0	3.7481259370314843	11.526876340112667	JUN;RAC2;RHOC
Metabotropic glutamate receptor group II pathway Homo sapiens P00040	2/30	0.04711364464141043	0.2638364099918984	0	0	5.74712643678161	17.55857830325623	VAMP8;SNAP23
Cortocotropin releasing factor receptor signaling pathway Homo sapiens P04380	2/30	0.04711364464141043	0.25127277142085563	0	0	5.74712643678161	17.55857830325623	VAMP8;SNAP23
FAS signaling pathway Homo sapiens P00020	2/31	0.049986989677904846	0.25447922017842467	0	0	5.561735261401558	16.66291720720503	JUN;CAPG
Serine glycine biosynthesis Homo sapiens P02776	1/6	0.06762048644493719	0.32928236877534633	0	0	14.367816091954023	38.70465930927576	SHMT2
Parkinson disease Homo sapiens P00049	3/81	0.06808856755493432	0.31774664858969354	0	0	3.1928480204342273	8.57901008056636	FGR;BLK;PSMA4
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	2/39	0.07504344166393534	0.3361946186544303	0	0	4.420866489832007	11.448665388790648	VAMP8;SNAP23
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	2/39	0.07504344166393534	0.32326405639849065	0	0	4.420866489832007	11.448665388790648	VAMP8;SNAP23
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	2/41	0.08182083978131467	0.33940496501878675	0	0	4.205214465937763	10.526590844271633	VAMP8;SNAP23
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	2/42	0.08527779644555608	0.3411111857822243	0	0	4.105090311986864	10.10608028715716	VAMP8;SNAP23
