Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
P53 pathway feedback loops 1 Homo sapiens P04392	1/7	0.015991582954907876	1.0	0	0	62.11180124223602	256.8753267379827	MDM4
Beta3 adrenergic receptor signaling pathway Homo sapiens P04379	1/11	0.025017061022238465	1.0	0	0	39.52569169960474	145.77854727198783	VAMP2
5HT3 type receptor mediated signaling pathway Homo sapiens P04375	1/16	0.036185096144207514	1.0	0	0	27.17391304347826	90.19315091438226	VAMP2
5HT4 type receptor mediated signaling pathway Homo sapiens P04376	1/16	0.036185096144207514	1.0	0	0	27.17391304347826	90.19315091438226	VAMP2
Axon guidance mediated by Slit/Robo Homo sapiens P00008	1/18	0.04061718578452446	0.9098249615733479	0	0	24.154589371980677	77.38077310998193	CXCR4
Opioid prodynorphin pathway Homo sapiens P05916	1/18	0.04061718578452446	0.7581874679777899	0	0	24.154589371980677	77.38077310998193	VAMP2
Opioid proenkephalin pathway Homo sapiens P05915	1/18	0.04061718578452446	0.6498749725523914	0	0	24.154589371980677	77.38077310998193	VAMP2
Opioid proopiomelanocortin pathway Homo sapiens P05917	1/18	0.04061718578452446	0.5686406009833425	0	0	24.154589371980677	77.38077310998193	VAMP2
Alpha adrenergic receptor signaling pathway Homo sapiens P00002	1/23	0.05161036810287483	0.6422623586135534	0	0	18.90359168241966	56.030863789272956	VAMP2
Adrenaline and noradrenaline biosynthesis Homo sapiens P00001	1/25	0.05597305354060756	0.6268981996548046	0	0	17.391304347826086	50.137128536162784	VAMP2
Beta2 adrenergic receptor signaling pathway Homo sapiens P04378	1/28	0.06248029490822359	0.636163002701913	0	0	15.527950310559005	43.057516357451156	VAMP2
Beta1 adrenergic receptor signaling pathway Homo sapiens P04377	1/28	0.06248029490822359	0.5831494191434202	0	0	15.527950310559005	43.057516357451156	VAMP2
5HT1 type receptor mediated signaling pathway Homo sapiens P04373	1/29	0.06463960869794699	0.5568950903207741	0	0	14.992503748125937	41.0633870816583	VAMP2
Cortocotropin releasing factor receptor signaling pathway Homo sapiens P04380	1/30	0.0667940570746933	0.5343524565975464	0	0	14.492753623188406	39.21943722239054	VAMP2
Metabotropic glutamate receptor group II pathway Homo sapiens P00040	1/30	0.0667940570746933	0.49872895949104323	0	0	14.492753623188406	39.21943722239054	VAMP2
Insulin/IGF pathway-protein kinase B signaling cascade Homo sapiens P00033	1/34	0.07536341037599187	0.527543872631943	0	0	12.787723785166241	33.061808123778654	MDM4
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	1/39	0.08596690914993177	0.5663702249877858	0	0	11.148272017837234	27.355549989975408	VAMP2
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	1/39	0.08596690914993177	0.5349052124884643	0	0	11.148272017837234	27.355549989975408	VAMP2
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	1/41	0.09017491989219245	0.5315574225223977	0	0	10.604453870625663	25.514357800130583	VAMP2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	1/42	0.09227181253348396	0.5167221501875102	0	0	10.351966873706004	24.668908631304156	VAMP2
p53 pathway feedback loops 2 Homo sapiens P04398	1/45	0.09853416477511664	0.5255155454672887	0	0	9.66183574879227	22.389873820618625	MDM4
Ionotropic glutamate receptor pathway Homo sapiens P00037	1/45	0.09853416477511664	0.5016284752187756	0	0	9.66183574879227	22.389873820618625	VAMP2
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	1/46	0.1006122083000428	0.48993770998281716	0	0	9.45179584120983	21.70587593391497	VAMP2
Dopamine receptor mediated signaling pathway Homo sapiens P05912	1/52	0.11298241718058168	0.5272512801760478	0	0	8.361204013377927	18.231798265456547	VAMP2
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	1/54	0.11706871342498994	0.524467836143955	0	0	8.051529790660226	17.27048488199245	VAMP2
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	1/68	0.14516162617874134	0.6253116204622704	0	0	6.3938618925831205	12.339561982325927	VAMP2
p53 pathway Homo sapiens P00059	1/71	0.15106677225376997	0.6266473515711939	0	0	6.12369871402327	11.573994730881106	MDM4
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.20979699739375907	0.8391879895750363	0	0	4.262574595055414	6.6564999781651935	BIRC3
Cadherin signaling pathway Homo sapiens P00012	1/150	0.292976371536462	1.0	0	0	2.8985507246376816	3.5584443954700737	PCDH9
CCKR signaling map ST Homo sapiens P06959	1/165	0.31716666998745746	1.0	0	0	2.635046113306983	3.0258968918151954	BIRC3
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	1/188	0.3526939473641132	1.0	0	0	2.3126734505087883	2.4101632811031024	CXCR4
Wnt signaling pathway Homo sapiens P00057	1/278	0.47513529940328403	1.0	0	0	1.563966218329684	1.163834336343337	PCDH9
