"seqnames"	"start"	"end"	"width"	"strand"	"CLL1_0d_CD4"	"CLL1_3d_CD4"	"CLL2_0d_CD4"	"CLL2_3d_CD4"	"CLL2_8d_CD4"	"CLL2_30d_CD4"	"CLL2_120d_CD4"	"CLL4_0d_CD4"	"CLL4_2d_CD4"	"CLL4_3d_CD4"	"CLL5_0d_CD4"	"CLL5_1d_CD4"	"CLL5_2d_CD4"	"CLL5_3d_CD4"	"CLL5_8d_CD4"	"CLL5_30d_CD4"	"CLL5_150d_CD4"	"CLL5_240d_CD4"	"CLL6_30d_CD4"	"CLL6_120d_CD4"	"CLL6_280d_CD4"	"CLL7_0d_CD4"	"CLL7_1d_CD4"	"CLL7_3d_CD4"	"CLL7_8d_CD4"	"CLL7_30d_CD4"	"CLL7_150d_CD4"	"CLL8_0d_CD4"	"CLL8_3d_CD4"	"consensusIDs"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"	"0"	"3"	"8"	"30"	"120"
"10"	"chr1"	949664	950000	337	"*"	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	"consensus_14"	"Promoter"	1	948847	949919	1073	1	"9636"	"uc001acj.4"	817	"ENSG00000187608"	"ISG15"	"ISG15 ubiquitin like modifier"	0.166666666666667	0.2	1	0.5	0
"106"	"chr1"	9006413	9007060	648	"*"	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	"consensus_134"	"Promoter"	1	9005893	9035148	29256	1	"765"	"uc031pld.1"	520	"ENSG00000131686"	"CA6"	"carbonic anhydrase 6"	0	0.4	1	0.25	0.166666666666667
"180"	"chr1"	19210627	19211010	384	"*"	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_229"	"Promoter"	1	19209696	19209769	74	2	"100616120"	"uc021ohm.2"	-858	"ENSG00000265606"	"MIR4695"	"microRNA 4695"	0.166666666666667	0.7	1	0.75	0.666666666666667
"207"	"chr1"	21606461	21607109	649	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	"consensus_261"	"Promoter"	1	21543740	21606183	62444	2	"1889"	"uc001bej.2"	-278	"ENSG00000117298"	"ECE1"	"endothelin converting enzyme 1"	0.166666666666667	0.7	1	0.75	0.666666666666667
"279"	"chr1"	26699808	26700133	326	"*"	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	"consensus_353"	"Promoter"	1	26688125	26699266	11142	2	"257101"	"uc009vsj.1"	-542	"ENSG00000176083"	"ZNF683"	"zinc finger protein 683"	0.166666666666667	0.8	1	0.25	0.666666666666667
"893"	"chr1"	150048234	150048474	241	"*"	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	"consensus_1151"	"Promoter"	1	150049267	150117505	68239	1	"11311"	"uc001etq.3"	-793	"ENSG00000136631"	"VPS45"	"vacuolar protein sorting 45 homolog"	0.166666666666667	0.5	1	0.25	0.166666666666667
"922"	"chr1"	151148287	151148805	519	"*"	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	"consensus_1190"	"Promoter"	1	151142463	151148457	5995	2	"29765"	"uc001exd.3"	0	"ENSG00000163157"	"TMOD4"	"tropomodulin 4"	0.166666666666667	0.2	1	0.25	0.333333333333333
"950"	"chr1"	153650184	153650468	285	"*"	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	"consensus_1227"	"Promoter"	1	153651164	153666468	15305	1	"4881"	"uc001fcs.4"	-696	"ENSG00000169418"	"NPR1"	"natriuretic peptide receptor 1"	0	0.1	1	0.25	0.666666666666667
"1162"	"chr1"	174844368	174844797	430	"*"	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	"consensus_1494"	"Promoter"	1	174844656	174927327	82672	1	"9910"	"uc001gkg.3"	0	"ENSG00000152061"	"RABGAP1L"	"RAB GTPase activating protein 1 like"	0.166666666666667	0.4	1	0.25	0.333333333333333
"1223"	"chr1"	193155602	193155858	257	"*"	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	"consensus_1572"	"Promoter"	1	193147860	193155743	7884	2	"8707"	"uc001gtc.4"	0	"ENSG00000162630"	"B3GALT2"	"beta-1,3-galactosyltransferase 2"	0.166666666666667	0.5	1	0.25	0
"1225"	"chr1"	196620657	196621294	638	"*"	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	"consensus_1575"	"Promoter"	1	196621008	196670695	49688	1	"3075"	"uc001gti.4"	0	"ENSG00000000971"	"CFH"	"complement factor H"	0.166666666666667	0.3	1	0.75	0.166666666666667
"1317"	"chr1"	207002668	207003075	408	"*"	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	"consensus_1696"	"Promoter"	1	207002222	207016326	14105	1	"29949"	"uc001hep.3"	446	"ENSG00000142224"	"IL19"	"interleukin 19"	0	0.5	1	0.75	0.333333333333333
"1331"	"chr1"	209824589	209824999	411	"*"	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_1716"	"Promoter"	1	209788218	209824679	36462	2	"3914"	"uc001hhg.3"	0	"ENSG00000196878"	"LAMB3"	"laminin subunit beta 3"	0	0.6	1	0.75	0.833333333333333
"1483"	"chr1"	240774884	240775714	831	"*"	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	"consensus_1912"	"Promoter"	1	240652873	240775462	122590	2	"64388"	"uc001hys.3"	0	"ENSG00000180875"	"GREM2"	"gremlin 2, DAN family BMP antagonist"	0.166666666666667	0.7	1	0.75	0.833333333333333
"1489"	"chr1"	242161657	242162079	423	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	"consensus_1918"	"Promoter"	1	242158792	242162385	3594	2	"440738"	"uc001hzk.2"	306	"ENSG00000197769"	"MAP1LC3C"	"microtubule associated protein 1 light chain 3 gamma"	0.166666666666667	0.6	1	0.5	0.666666666666667
"1528"	"chr10"	4698812	4699077	266	"*"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	"consensus_1981"	"Promoter"	10	4698348	4704606	6259	1	"338588"	"uc001ihg.3"	464	"ENSG00000225269"	"LINC00705"	"long intergenic non-protein coding RNA 705"	0	0.1	1	0.25	0.333333333333333
"1929"	"chr10"	100185430	100185818	389	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_2507"	"Promoter"	10	100183360	100185742	2383	2	"3257"	"uc010qpg.2"	0	"ENSG00000107521"	"HPS1"	"HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"	0.166666666666667	0.6	1	0.75	0.666666666666667
"2256"	"chr11"	12029960	12031036	1077	"*"	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	"consensus_2972"	"Promoter"	11	11984543	12030155	45613	2	"27122"	"uc010rcf.2"	0	"ENSG00000050165"	"DKK3"	"dickkopf WNT signaling pathway inhibitor 3"	0.166666666666667	0.3	1	0.5	0.833333333333333
